Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000308,ENSRNOG00000003288,1
ENSRNOG00000000308,ENSRNOG00000004760,1
ENSRNOG00000000308,ENSRNOG00000010780,1
ENSRNOG00000000308,ENSRNOG00000011300,1
ENSRNOG00000000308,ENSRNOG00000012985,1
ENSRNOG00000000312,ENSRNOG00000004760,1
ENSRNOG00000000312,ENSRNOG00000007830,1
ENSRNOG00000000312,ENSRNOG00000008668,1
ENSRNOG00000000314,ENSRNOG00000013982,1
ENSRNOG00000000314,ENSRNOG00000020715,1
ENSRNOG00000000314,ENSRNOG00000023520,1
ENSRNOG00000000314,ENSRNOG00000029165,1
ENSRNOG00000000314,ENSRNOG00000030170,1
ENSRNOG00000000314,ENSRNOG00000030462,1
ENSRNOG00000000314,ENSRNOG00000046969,1
ENSRNOG00000000316,ENSRNOG00000001429,1
ENSRNOG00000000316,ENSRNOG00000004604,1
ENSRNOG00000000316,ENSRNOG00000004760,1
ENSRNOG00000000316,ENSRNOG00000014999,1
ENSRNOG00000000316,ENSRNOG00000017775,1
ENSRNOG00000000321,ENSRNOG00000007131,1
ENSRNOG00000000321,ENSRNOG00000013889,1
ENSRNOG00000000321,ENSRNOG00000016478,1
ENSRNOG00000000321,ENSRNOG00000018184,1
ENSRNOG00000000321,ENSRNOG00000020266,1
ENSRNOG00000000321,ENSRNOG00000026056,1
ENSRNOG00000000321,ENSRNOG00000029707,1
ENSRNOG00000000321,ENSRNOG00000032871,1
ENSRNOG00000000321,ENSRNOG00000033153,1
ENSRNOG00000000321,ENSRNOG00000034234,1
ENSRNOG00000000321,ENSRNOG00000056457,1
ENSRNOG00000000321,ENSRNOG00000070034,1
ENSRNOG00000000322,ENSRNOG00000007984,1
ENSRNOG00000000322,ENSRNOG00000017751,1
ENSRNOG00000000322,ENSRNOG00000025067,1
ENSRNOG00000000323,ENSRNOG00000004538,1
ENSRNOG00000000327,ENSRNOG00000002632,1
ENSRNOG00000000327,ENSRNOG00000029971,1
ENSRNOG00000000335,ENSRNOG00000003403,1
ENSRNOG00000000335,ENSRNOG00000004865,1
ENSRNOG00000000340,ENSRNOG00000002319,1
ENSRNOG00000000340,ENSRNOG00000007349,1
ENSRNOG00000000340,ENSRNOG00000013773,1
ENSRNOG00000000340,ENSRNOG00000027622,1
ENSRNOG00000000383,ENSRNOG00000000923,1
ENSRNOG00000000383,ENSRNOG00000001607,1
ENSRNOG00000000383,ENSRNOG00000003247,1
ENSRNOG00000000383,ENSRNOG00000010431,1
ENSRNOG00000000383,ENSRNOG00000014836,1
ENSRNOG00000000383,ENSRNOG00000015420,1
ENSRNOG00000000383,ENSRNOG00000017401,1
ENSRNOG00000000383,ENSRNOG00000029707,2
ENSRNOG00000000383,ENSRNOG00000031979,1
ENSRNOG00000000383,ENSRNOG00000049351,1
ENSRNOG00000000384,ENSRNOG00000008668,1
ENSRNOG00000000384,ENSRNOG00000014253,1
ENSRNOG00000000384,ENSRNOG00000014340,1
ENSRNOG00000000384,ENSRNOG00000016684,1
ENSRNOG00000000384,ENSRNOG00000043186,1
ENSRNOG00000000386,ENSRNOG00000026775,1
ENSRNOG00000000386,ENSRNOG00000027697,1
ENSRNOG00000000386,ENSRNOG00000049127,1
ENSRNOG00000000392,ENSRNOG00000014999,1
ENSRNOG00000000392,ENSRNOG00000071047,1
ENSRNOG00000000397,ENSRNOG00000003657,1
ENSRNOG00000000397,ENSRNOG00000017822,1
ENSRNOG00000000397,ENSRNOG00000020294,1
ENSRNOG00000000397,ENSRNOG00000025053,1
ENSRNOG00000000397,ENSRNOG00000056118,2
ENSRNOG00000000397,ENSRNOG00000061108,2
